20138,StruveO 270,TAU BOO,TAU,,13 47.3, 17 27,BOO,,4.5,11.1,4.8,11,14,151/ 196,F5,1970,9025,A is a Delta Scuti-type var.
20139,,THETA BOO,THETA,,14 25.2, 51 51,BOO,,4.1,11.1,69.3,182,2,49,F8,1854,,A is a Delta Scuti-type var.
20140,Struve 1888,XI BOO,XI,,14 51.4, 19 06,BOO,AC,4.6,12.6,66.7,348,14,153,G5,1953,9413,P = 151.5 yr.- a = 4.90''- motion retrograde. Y/RP
20141,Struve 1865,ZETA BOO,ZETA,,14 41.1, 13 44,BOO,AB,4.5,4.6,1,307,14,197/ 198,A2,1960,9343,
20142,Harvard 190,ALPHA CAE,ALPHA,,04 40.5,-41 51,CAE,,4.5,12.5,6.6,121,19,392,F2,1933,,A is a Delta Scuti-type var.
20143,Jacob 9,GAMMA CAE,GAMMA,,05 04.4,-35 28,CAE,,4.7,8.2,3.2,309,19,358,K0,1983,,
20144,Struve 550,1 CAM,1,,04 32.0, 53 55,CAM,AB,5.7,6.8,10.3,308,1,39/ 40,B1,1830,3274,A is a sp-bin.
20145,Burnham 1043,3 CAM,3,,04 39.9, 53 05,CAM,,5.3,12.3,3.8,297,1,40,K0,1888,3359,A is an ecl-bin of the W UMa-type. A is a sp-bin.
20146,,4 CAM,4,,04 48.0, 56 45,CAM,AC,5.4,12,99,223,1,40,A2,1958,3432,AC: First distance 102.4''.
20147,Burnham 1187,5 CAM,5,,04 55.1, 55 15,CAM,,5.6,12.9,12.9,245,1,40,A0,1890,3508,
20148,Struve 13,11 CAM,11,,05 06.0, 58 58,CAM,AB,5.3,6.4,179.8,8,1,40,B3,1836,,STF 13- App I. b is 12 Cam.  B/r IN FINE FIELD
20149,,16 CAM,16,,05 23.5, 57 32,CAM,,5.2,12.9,106.2,219,1,40,A0,1913,,A is a sp-bin.
20150,Herschel 125,29 CAM,29,,05 50.5, 56 55,CAM,,6.5,9.5,25.1,131,1,41,A2,1900,4412,h IV 125.
20151,,40 CAM,40,,06 15.7, 60 00,CAM,,5.6,10.7,102.7,356,1,20/ 41,K0,1908,,
20152,Struve 1055,47 CAM,47,,07 22.3, 59 53,CAM,,6.3,10.8,2,310,1,42,A5,1982,5995,
20153,South 459,BETA CAM,BETA,,05 03.4, 60 26,CAM,AB,4.2,8.8,82.7,208,1,19/ 40,G0,1825,3615,
20154,Herschel  2200,GAMMA CAM,GAMMA,,03 50.4, 71 19,CAM,AB,4.7,12.4,56.2,240,1,18,A0,1904,,
20155,Struve 485,SZ CAM,SZ,,04 07.8, 62 20,CAM,,7,10.4,89.9,71,1,18,B0,1902,2984,In NGC 1502 Cluster
20156,See 439,24 CAP,24,,21 07.1,-24 59,CAP,,4.6,11.7,26.2,186,23,344/ 345,M1,1897,14632,
20157,See 454,41 CAP,41,,21 42.0,-23 15,CAP,,5.3,11.5,5.2,212,23,346,G9,1897,15223,
20158,Struve 51,ALPHA CAP,ALPHA,,20 18.0,-12 32,CAP,AE,3.8,4.2,377.7,291,16,298,G5,1835,13645,STF 51- App I. Also 2 Cap. Y/Y
20159,Herschel  608,ALPHA CAP,ALPHA,,20 18.0,-12 32,CAP,AxBC,3.8,11.2,6.6,172,16,298,G5,1846,13645,
20160,Struve 52,BETA CAP,BETA,,20 21.0,-14 47,CAP,APxB,3.1,6.2,205.3,267,16,298,,1835,,
20161,Herschel  3009,CHI CAP,CHI,,21 08.5,-21 11,CAP,AB,5.3,11,67,66,23,345,A0,1900,,
20162,Herschel  3056,DELTA CAP,DELTA,,21 47.0,-16 07,CAP,AC,3,12.7,118.9,302,16/ 17,301,A5,1901,15314,A is an Algol ecl-bin- and also an occ-bin.
20163,Herschel 6,EPSILON CAP,EPSILON,,21 37.1,-19 28,CAP,,4.7,9.5,68.1,47,16/ 17,345/ 346,B5,1877,,h VI 6.A is Cepheid & shell star. Also an occ-bin.
20164,Lamont 5,NU CAP,NU,,20 20.6,-12 45,CAP,,4.8,11.8,54.1,211,16,298,A0,1960,13714,
20165,South-Herschel 324,OMICRON CAP,OMICRON,,20 29.9,-18 35,CAP,,6.1,6.6,18.9,239,16,298/299/343/344,A2,1823,13902,BW/B
20166,Burnham 60,PI CAP,PI,,20 27.3,-18 12,CAP,AB,5.2,8.8,3.4,147,16,298/ 343,B8,1976,13860,Y/B
20167,South-Herschel 323,RHO CAP,RHO,,20 28.9,-17 49,CAP,AB,5,10,0.5,158,16,298/ 299,F0,1958,13887,
20168,Harvard 156,RY CAP,RY,,20 06.9,-08 54,CAP,AB,7.8,10.5,6.2,88,16,298,F0,1892,13380,b is the Mira-type var
20169,Herschel 87,SIGMA CAP,SIGMA,,20 19.4,-19 07,CAP,,5.5,9,56.5,179,16,343,K4,1959,13675,O/B
20170,Hussey 200,TAU CAP,TAU,,20 39.3,-14 56,CAP,AC,5.3,12.1,158.6,272,16,299,B5,1912,14099,P = 200 yr.- a = 0.31''- motion direct.
20171,,XI CAP,XI,,20 12.3,-12 36,CAP,,5.9,12.1,71.6,259,16,298,F5,1909,,
20172,See 446,ZETA CAP,ZETA,,21 26.7,-22 25,CAP,,3.9,12.5,21.3,13,23,345,G4,1897,14971,A is a sp-bin.
20173,Herschel  4369,BO CAR,BO,,10 45.8,-59 29,CAR,,7.9,11.1,14.2,41,25,427,M,1837,,A is an irr var
20174,Rumker 11,UPSILON CAR,UPSILON,,09 47.1,-65 03,CAR,,3.1,6.1,5,127,25,448,F0,1836,,
20175,vandenBos 1673,V337 CAR,V337,,10 17.0,-61 20,CAR,AB,3.4,12.6,16.4,164,25,426/ 449,K5,1931,,Variable
20176,,V337AC CAR,V337AC,,10 17.0,-61 20,CAR,AC,3.4,12.7,26,6,25,426/ 449,,1932,,Variable
20177,Dunlop 62,V375 CAR,V375,,08 04.7,-62 50,CAR,,6.5,7.8,87.1,262,25,424/ 447,B5,1836,,
20178,Dunlop 74,V376 CAR,V376,,08 56.9,-59 14,CAR,,5.1,6.8,40.2,75,25,425,B5,1836,,A var
20179,,2 CAS,2,,23 09.8, 59 19,CAS,AB,5.6,13,19.9,322,3,58,A3,1904,16556,
20180,StruveO 508,6 CAS,6,,23 48.9, 62 13,CAS,AC,5.6,10.7,62.4,309,3,15,A2,1912,17022,The var V566 Cas.  Y/O
20181,South 838,9 CAS,9,,00 04.2, 62 17,CAS,,6,10,246,196,1,15,A0,1824,,
20182,Herschel 122,21 CAS,21,,00 45.6, 74 58,CAS,,6,9.7,36,160,1,3,A2,1903,624,A is an Algol-type ecl/sp binary
20183,South 397,35 CAS,35,,01 21.1, 64 39,CAS,,6.3,8.7,55.5,344,1,16,A0,1967,1088,
20184,Herschel  2054,40 CAS,40,,01 38.5, 73 02,CAS,,5.5,11.5,53.3,237,1,4,K0,1879,1268,
20185,Burnham 1103,44 CAS,44,,01 43.4, 60 33,CAS,AC,5.8,9.6,66,310,1,16/ 37,B9,1912,1344,A is a sp-bin.
20186,South-Herschel 22,47 CAS,47,,02 05.1, 77 16,CAS,,5.4,11.4,95.6,199,1,4,F0,1922,,
